Order_ID,Order_Date,CustomerID,Product,Category,Unit_Price,Quantity,Total_Sales,Ad_Budget
ORD_00000,2025-11-05,CUST_002,Sheet Mask Collagen (10pcs),Kecantikan,89572.0,6,537429.0,50547.0
ORD_00001,2025-02-28,CUST_042,Lip Tint & Blush Duo,Kecantikan,182986.0,3,548957.0,39785.0
ORD_00002,2025-05-11,CUST_051,Eau de Parfum 100ml,Kecantikan,751708.0,3,2255124.0,204190.0
ORD_00003,2025-08-30,CUST_009,Sepatu Running Carbon,Olahraga,1479114.0,1,1479114.0,167048.0
ORD_00004,2025-03-22,CUST_036,Jeans Denim Slim,Fashion,510856.0,3,1532568.0,100233.0
ORD_00005,2025-10-23,CUST_085,Kaos Oversize Unisex,Fashion,137947.0,10,1379468.0,79614.0
ORD_00006,2025-01-09,CUST_088,Matras Yoga Premium,Olahraga,302862.0,5,1514308.0,84708.0
ORD_00007,2025-10-16,CUST_005,Smartwatch Ultra,Elektronik,2331946.0,1,2331946.0,227786.0
ORD_00008,2025-02-17,CUST_023,Sneakers Limited Edition,Fashion,1070714.0,1,1070714.0,80147.0
ORD_00009,2025-05-11,CUST_001,Adjustable Dumbbell 20kg,Olahraga,1161269.0,1,1161269.0,90551.0
ORD_00010,2025-06-28,CUST_063,Matras Yoga Premium,Olahraga,330786.0,2,661572.0,40788.0
ORD_00011,2025-01-29,CUST_036,Smartwatch Ultra,Elektronik,2490932.0,2,4981863.0,435367.0
ORD_00012,2025-04-18,CUST_044,Adjustable Dumbbell 20kg,Olahraga,1077411.0,3,3232233.0,266310.0
ORD_00013,2025-10-10,CUST_062,Vitamin C Serum 30ml,Kecantikan,388759.0,2,777518.0,55459.0
ORD_00014,2025-11-14,CUST_037,Smartwatch Ultra,Elektronik,2318545.0,1,2318545.0,201819.0
ORD_00015,2025-06-29,CUST_062,Wireless Noise Cancelling,Elektronik,496601.0,2,993202.0,87885.0
ORD_00016,2025-04-23,CUST_056,Smartphone Flagship,Elektronik,7796566.0,1,7796566.0,569560.0
ORD_00017,2025-05-06,CUST_002,Wireless Noise Cancelling,Elektronik,501583.0,2,1003167.0,109843.0
ORD_00018,2025-11-21,CUST_098,Tumbler Insulated 1L,Olahraga,119843.0,4,479373.0,49466.0
ORD_00019,2025-09-16,CUST_020,Sofa L Shape Minimalis,Home & Living,4856362.0,1,4856362.0,469847.0
ORD_00020,2025-02-08,CUST_082,Vitamin C Serum 30ml,Kecantikan,390727.0,4,1562906.0,123242.0
ORD_00021,2025-04-09,CUST_007,Wireless Noise Cancelling,Elektronik,555335.0,1,555335.0,59776.0
ORD_00022,2025-06-01,CUST_054,Lip Tint & Blush Duo,Kecantikan,190931.0,8,1527445.0,161603.0
ORD_00023,2025-12-06,CUST_099,Smartwatch Ultra,Elektronik,2317358.0,1,2317358.0,
ORD_00024,2025-06-10,CUST_068,Wireless Noise Cancelling,Elektronik,515709.0,3,1547127.0,177405.0
ORD_00025,2025-07-14,CUST_017,Drone 4K Camera,Elektronik,4746380.0,1,4746380.0,472978.0
ORD_00026,2025-02-20,CUST_054,Smartwatch Ultra,Elektronik,2485229.0,2,4970459.0,
ORD_00027,2025-02-04,CUST_064,Set Dinnerware Keramik,Home & Living,398703.0,4,1594812.0,114581.0
ORD_00028,2025-08-21,CUST_037,Laptop Gaming Pro,Elektronik,12059121.0,1,12059121.0,1302501.0
ORD_00029,2025-06-10,CUST_067,Sepatu Running Carbon,Olahraga,1337098.0,3,4011294.0,266569.0
ORD_00030,2025-06-23,CUST_024,Jaket Kulit Premium,Fashion,2057394.0,1,2057394.0,227961.0
ORD_00031,2025-10-26,CUST_048,Sneakers Limited Edition,Fashion,1020189.0,1,1020189.0,108059.0
ORD_00032,2025-08-03,CUST_063,Matras Yoga Premium,Olahraga,313630.0,11,3449928.0,209200.0
ORD_00033,2025-02-27,CUST_086,Sofa L Shape Minimalis,Home & Living,5223909.0,1,5223909.0,
ORD_00034,2025-04-11,CUST_097,Smartwatch Ultra,Elektronik,2372880.0,1,2372880.0,206974.0
ORD_00035,2025-11-07,CUST_040,Tumbler Insulated 1L,Olahraga,125627.0,3,376881.0,32954.0
ORD_00036,2025-05-07,CUST_009,Sheet Mask Collagen (10pcs),Kecantikan,90202.0,6,541211.0,32393.0
ORD_00037,2025-09-29,CUST_061,Sheet Mask Collagen (10pcs),Kecantikan,90180.0,4,360718.0,40067.0
ORD_00038,2025-04-04,CUST_062,Resistance Band Set,Olahraga,79779.0,4,319114.0,18432.0
ORD_00039,2025-11-21,CUST_100,Sheet Mask Collagen (10pcs),Kecantikan,93457.0,5,467286.0,42967.0
ORD_00040,2025-06-09,CUST_091,Kaos Oversize Unisex,Fashion,148304.0,6,889825.0,50356.0
ORD_00041,2025-06-17,CUST_074,Eau de Parfum 100ml,Kecantikan,802976.0,3,2408927.0,188297.0
ORD_00042,2025-03-31,CUST_008,Bantal Ergonomis Memory,Home & Living,280203.0,3,840610.0,63208.0
ORD_00043,2025-08-05,CUST_021,Matras Yoga Premium,Olahraga,312235.0,4,1248939.0,138881.0
ORD_00044,2025-02-05,CUST_082,Sepatu Running Carbon,Olahraga,1396764.0,2,2793528.0,276277.0
ORD_00045,2025-12-21,CUST_030,Drone 4K Camera,Elektronik,4989560.0,1,4989560.0,495935.0
ORD_00046,2025-07-06,CUST_019,Laptop Gaming Pro,Elektronik,13152915.0,1,13152915.0,975985.0
ORD_00047,2025-10-11,CUST_078,Smartwatch Ultra,Elektronik,2608910.0,1,2608910.0,157780.0
ORD_00048,2025-02-22,CUST_023,Vitamin C Serum 30ml,Kecantikan,370983.0,2,741965.0,65458.0
ORD_00049,2025-11-27,CUST_018,Drone 4K Camera,Elektronik,5033940.0,3,15101819.0,1325259.0
ORD_00050,2025-06-19,CUST_009,Skincare Routine Set,Kecantikan,858781.0,2,1717561.0,
ORD_00051,2025-11-17,CUST_086,Dress Formal Wanita,Fashion,458091.0,2,916183.0,70964.0
ORD_00052,2025-04-01,CUST_074,Skincare Routine Set,Kecantikan,960796.0,4,3843184.0,340138.0
ORD_00053,2025-11-13,CUST_039,Dress Formal Wanita,Fashion,422869.0,2,845738.0,49373.0
ORD_00054,2025-06-09,CUST_045,Wireless Noise Cancelling,Elektronik,558540.0,5,2792701.0,155635.0
ORD_00055,2025-05-23,CUST_031,Resistance Band Set,Olahraga,80461.0,5,402303.0,27360.0
